family	statistic	p.value	method	alternative	-1	0	p.value.adj
Bifidobacteriaceae	64.5	0.005822758233189514	Wilcoxon signed rank test with continuity correction	two.sided	0.0022486309456709406	1.779918954356945e-5	0.016497814994036956
Desulfovibrionaceae	15	0.059058229090536735	Wilcoxon signed rank test with continuity correction	two.sided	0.0012637424575934308	0	0.15852472019038807
Clostridiaceae 1	19.5	0.07393743585215212	Wilcoxon signed rank test with continuity correction	two.sided	3.975152331397177e-4	1.1866126362379632e-5	0.1885404614229879
Deferribacteraceae	150	0.0965943475104722	Wilcoxon signed rank test with continuity correction	two.sided	0.009623428479889883	0.004242140174550719	0.23262548043531048
Peptostreptococcaceae	10	0.10034824646229079	Wilcoxon signed rank test with continuity correction	two.sided	0.0011688134466943938	1.0086207408022688e-4	0.23262548043531048
Betaproteobacteria Unclassified	1	0.10564542920187692	Wilcoxon signed rank test with continuity correction	two.sided	3.1445234860306027e-4	0.005772870475297692	0.2342572560563358
Alteromonadaceae	2	0.3447042220069577	Wilcoxon signed rank test with continuity correction	two.sided	5.933063181189816e-6	2.3732252724759264e-5	0.629810996203899
Bacillaceae 1	0	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	1.1866126362379632e-5	0.629810996203899
Caulobacteraceae	0	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	5.933063181189816e-6	1.779918954356945e-5	0.629810996203899
Chitinophagaceae	0	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	0	1.1866126362379632e-5	0.629810996203899
Clostridiales Incertae Sedis XIII	3	0.34577858615116025	Wilcoxon signed rank test with continuity correction	two.sided	1.1866126362379632e-5	0	0.629810996203899
Bacteroidaceae	293	0.3831488881348028	Wilcoxon signed rank test with continuity correction	two.sided	0.12209057414252404	0.15875097153909593	0.6513531098291647
Deltaproteobacteria Unclassified	3	0.37109336952269756	Wilcoxon signed rank test with continuity correction	two.sided	2.966531590594908e-5	0	0.6513531098291647
Proteobacteria Unclassified	1	0.42267807417063546	Wilcoxon signed rank test with continuity correction	two.sided	1.779918954356945e-5	1.2459432680498616e-4	0.6736431807094503
Rhodospirillaceae	5	0.42267807417063546	Wilcoxon signed rank test with continuity correction	two.sided	4.331136122268566e-4	5.933063181189816e-6	0.6736431807094503
Pseudomonadaceae	7	0.484018354704782	Wilcoxon signed rank test with continuity correction	two.sided	1.1866126362379632e-5	2.3732252724759264e-5	0.7480283663619358
Sutterellaceae	25	0.5046692719548943	Wilcoxon signed rank test with continuity correction	two.sided	0.0044675965754359314	0.011225355538811132	0.7570039079323414
Lactobacillales Unclassified	1.5	0.58621368107314	Wilcoxon signed rank test with continuity correction	two.sided	5.933063181189816e-6	2.3732252724759267e-5	0.8541970781351468
Prevotellaceae	52.5	0.64381389671128475	Wilcoxon signed rank test with continuity correction	two.sided	0.015331035260194486	5.9330631811898165e-5	0.9120696870076535
Bacilli Unclassified	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	5.933063181189816e-6	1
Burkholderiales Unclassified	9	0.7874064906662693	Wilcoxon signed rank test with continuity correction	two.sided	0.0012459432680498614	0.0014951319216598338	1
Corynebacteriaceae	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	5.933063181189816e-6	1
Cytophagaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	5.933063181189816e-6	0	1
Desulfovibrionales Unclassified	1	1	Wilcoxon signed rank test with continuity correction	two.sided	5.933063181189816e-6	0	1
Flavobacteriaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	5.933063181189816e-6	0	1
Fusobacteriaceae	9	0.765594483995764	Wilcoxon signed rank test with continuity correction	two.sided	1.779918954356945e-5	1.1866126362379632e-5	1
Gp2 Unclassified	1	1	Wilcoxon signed rank test with continuity correction	two.sided	5.933063181189816e-6	0	1
Moraxellaceae	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	5.933063181189816e-6	1
Oxalobacteraceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	5.933063181189816e-6	0	1
Planococcaceae	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	5.933063181189816e-6	1
Rhizobiaceae	1	1	Wilcoxon signed rank test with continuity correction	two.sided	5.933063181189816e-6	0	1
Rhodobacteraceae	0	1	Wilcoxon signed rank test with continuity correction	two.sided	0	5.933063181189816e-6	1
Staphylococcaceae	2	0.7728299926844475	Wilcoxon signed rank test with continuity correction	two.sided	5.933063181189816e-6	1.1866126362379632e-5	1
Veillonellaceae	2	0.7728299926844475	Wilcoxon signed rank test with continuity correction	two.sided	5.933063181189816e-6	1.1866126362379632e-5	1
Acetobacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Acidaminococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Actinomycetales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Aerococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Alphaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bacillales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Bradyrhizobiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Brevibacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Burkholderiales incertae sedis	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Candidatus Saccharibacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Catabacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Clostridiales Incertae Sedis XI	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Coxiellaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Cytophagales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dermabacteraceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dermacoccaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Dietziaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Eubacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Gammaproteobacteria Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Geodermatophilaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Gp6 Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Labilitrichaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Leuconostocaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Listeriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Micrococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Micromonosporaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Nocardiaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Nocardiopsaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Paenibacillaceae 1	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Phyllobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Sphingobacteriaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Sphingomonadaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Sphingomonadales Unclassified	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Streptococcaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
Xanthomonadaceae	0	NaN	Wilcoxon signed rank test with continuity correction	two.sided	0	0	NaN
